WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,ITA,Italy,Taranto,2016,12.79,22.26,15.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Terni,2016,25.53,34.29,21.62,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torchiarolo,2016,18.3,31.69,13.66,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torgiano,2016,12.05,19.23,10.86,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torino,2016,25.09,34.27,48.72,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torrechiara,2016,14.08,20.29,15.69,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trento,2016,14.74,21.17,40.52,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trepuzzi,2016,16.32,27.53,13.6,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviglio,2016,22.87,31.02,36.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviso,2016,24.11,36.36,35.24,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trieste,2016,14.51,20.66,27.11,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trivero,2016,10.55,15.39,15.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Udine,2016,15.78,22.5,23.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vado Ligure,2016,13.7,22.68,30.1,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Varese,2016,20.48,26.34,33.61,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Venezia,2016,25.67,35.51,33.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vercelli,2016,19.62,29.09,27.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Verona,2016,22.49,29.78,25.89,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viareggio,2016,15.78,26.46,28.27,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vibo Valentia,2016,9.03,20.85,15.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vicenza,2016,24.5,35.22,33.26,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vinchio,2016,19.25,26.48,14.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viterbo,2016,10.78,19.17,26.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acerra,2017,15.66,33.91,23.3,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acquapendente,2017,10.01,15.02,6.52,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acri,2017,14.66,21.13,23.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Agip Petroli-Ilva,2017,9.47,16.5,11.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Albenga,2017,10.56,16.6,22.76,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Alessandria,2017,25.94,39.19,36.53,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Altamura,2017,12.64,20.34,26.33,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Amelia,2017,11.43,17.18,9.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ancona,2017,15.13,25.1,15.58,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Andria,2017,13.72,23.12,22.85,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Aosta,2017,13.12,21.17,27.68,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Arezzo,2017,13.03,21.53,27.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Argenta,2017,19.64,27.21,12.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ascoli Piceno,2017,13.01,19.04,16.91,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Avellino,2017,18.34,31.49,23.54,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bari,2017,15.28,24.14,28.3,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Barletta,2017,13.24,22.62,17.77,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Battipaglia,2017,9.73,23.15,22.08,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Belluno,2017,15.32,21.24,25.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Benevento,2017,19.34,24.35,19.6,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bergamo,2017,26.35,36.32,41.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Biella,2017,16.04,22.3,17.22,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bologna,2017,19.19,27.19,30.45,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgaro Torinese,2017,27.46,38.17,29.96,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgo Valsugana,2017,17.47,24.68,25.41,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgomanero,2017,18.87,23.33,24.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgosesia,2017,17.9,24.16,15.56,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bormio,2017,10.02,12.45,14.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bragno,2017,17.59,23.08,11.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Brescia,2017,26.82,37.79,45.25,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Brindisi,2017,13.53,21.83,16.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cagliari,2017,16.79,32.68,32.23,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cairo Montenotte,2017,17.52,24.96,21.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Calusco D'adda,2017,22.94,31.23,23.89,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cantalupo Ligure,2017,11.7,15.84,11.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Capannori,2017,23.18,31.0,25.27,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Casamassima,2017,14.97,23.57,16.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Casarotti,2017,23.36,39.69,27.38,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Caserta,2017,12.49,28.68,28.35,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Casoria,2017,17.56,35.51,28.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cassino,2017,18.23,25.21,38.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castel Di Sangro,2017,8.63,12.7,11.4,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castellarano,2017,22.79,31.62,21.26,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castelluccio,2017,6.07,10.09,2.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Catanzaro,2017,10.79,18.95,20.12,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cava De' Tirreni,2017,14.8,26.63,24.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cengio,2017,10.67,14.94,6.65,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Chiaravalle,2017,12.28,23.52,26.17,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Chieti,2017,15.03,21.71,18.58,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ciconia,2017,10.2,16.84,8.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Citta Di Castello,2017,16.89,22.94,15.33,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Civitavecchia,2017,8.46,18.85,23.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Como,2017,26.72,34.34,49.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Conegliano,2017,21.79,27.48,22.38,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cosenza,2017,13.72,19.99,23.64,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cremona,2017,28.94,41.46,37.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Crotone,2017,16.1,26.07,27.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cuneo,2017,19.32,25.9,26.37,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Dalmine,2017,28.36,33.83,32.46,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Darfo Boario Terme,2017,26.52,33.78,32.54,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Domodossola,2017,18.03,27.35,15.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Este,2017,22.33,32.75,27.88,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Faenza,2017,16.16,23.8,19.9,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Falconara Marittima,2017,13.2,24.44,27.02,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Feltre,2017,20.67,26.18,12.57,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ferrara,2017,19.88,31.46,30.48,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Firenze,2017,14.81,22.13,43.39,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Foggia,2017,14.01,22.42,22.74,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Foligno,2017,14.88,21.3,36.5,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Fontechiari,2017,12.0,16.62,5.77,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Forli,2017,17.81,25.07,25.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Francavilla Al Mare,2017,12.43,19.01,16.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Frosinone,2017,17.25,32.14,34.25,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gavello,2017,21.34,30.55,12.82,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Genova,2017,18.93,23.59,39.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gherardi,2017,21.81,28.79,13.23,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gorizia,2017,15.23,19.36,25.47,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Grado,2017,12.76,17.44,9.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Grosseto,2017,9.75,20.25,19.53,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gubbio,2017,10.14,17.19,12.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Guidonia,2017,13.16,22.8,27.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ivrea,2017,23.77,30.73,24.72,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,L'aquila,2017,9.98,15.96,8.94,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,La Massimina-Casal Lumbroso,2017,14.47,22.3,20.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,La Spezia,2017,10.86,21.02,26.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lamezia Terme,2017,9.91,21.0,10.9,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Latina Scalo,2017,13.34,22.35,27.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lecce,2017,13.29,20.92,17.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lecco,2017,17.24,26.48,25.28,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Leini,2017,25.84,33.67,32.48,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Leonessa,2017,9.46,12.18,6.89,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Livorno,2017,11.2,19.76,24.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Locri,2017,9.91,20.83,9.95,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lodi,2017,24.66,38.33,35.24,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Macerata,2017,9.48,16.35,13.9,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Macomer,2017,6.24,13.43,6.45,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Maddaloni,2017,14.47,30.31,23.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Magione,2017,12.0,20.49,16.93,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mammola,2017,9.51,14.91,8.27,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mansue,2017,23.47,31.08,15.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mantova,2017,27.93,37.16,22.43,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Martirano Lombardo,2017,19.34,25.52,31.05,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Massa,2017,13.27,20.85,20.92,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Merate,2017,25.82,38.82,43.59,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Modena,2017,21.56,34.66,36.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Modugno,2017,16.71,28.48,21.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Moggio,2017,12.9,16.73,6.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mondovi,2017,19.88,29.13,28.41,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monfalcone,2017,13.83,18.82,18.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monopoli,2017,11.61,19.25,18.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monserrato,2017,15.07,27.4,19.27,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Montesilvano,2017,14.57,22.62,27.18,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monza,2017,29.96,35.91,51.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Napoli,2017,16.91,29.16,42.54,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Nocera Inferiore,2017,17.51,35.32,29.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Novara,2017,21.51,31.61,39.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pallanza,2017,13.8,18.34,29.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Parma,2017,24.03,35.21,31.66,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pavia,2017,26.16,37.94,38.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pedagne,2017,11.98,19.88,23.71,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Perugia,2017,13.62,21.19,24.53,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pescara,2017,15.22,25.35,28.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Piacenza,2017,24.48,34.29,31.21,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pisa,2017,17.69,26.88,35.72,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Poggibonsi,2017,12.4,18.73,19.4,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Polla,2017,9.84,19.28,20.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ponti Sul Mincio,2017,27.14,33.89,22.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pordenone,2017,18.16,26.4,28.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Portici,2017,11.19,27.77,22.35,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Porto Empedocle,2017,15.19,32.1,5.78,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Porto Torres,2017,8.47,19.83,9.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Portoscuso,2017,13.37,23.51,7.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Prato,2017,17.18,24.58,32.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Priolo Gargallo,2017,12.91,21.93,13.3,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Quiliano,2017,12.45,22.21,17.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ravenna,2017,20.9,28.06,25.34,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Reggio Calabria,2017,10.01,19.23,19.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Reggio Emilia,2017,22.55,36.38,33.7,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rieti,2017,13.44,19.57,22.65,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rimini,2017,18.29,30.26,31.76,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Roma,2017,14.41,26.22,44.05,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rovereto,2017,17.02,22.06,31.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rovigo,2017,27.51,35.83,23.85,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Salerno,2017,11.86,21.79,29.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,San Felice A Cancello,2017,16.39,31.08,21.48,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,San Giuliano Terme,2017,13.68,21.56,18.6,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,San Rocco,2017,25.79,33.86,18.89,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sannazzaro De' Burgondi,2017,23.62,32.95,30.58,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Saronno,2017,23.39,34.59,38.56,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sarroch,2017,10.92,18.55,11.35,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sassari,2017,5.84,21.01,22.24,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sassuolo,2017,20.85,29.53,21.0,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Savignano Sul Rubicone,2017,18.77,27.37,17.82,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Savona,2017,14.92,21.66,24.25,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Schivenoglia,2017,27.11,36.73,17.68,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Settimo Torinese,2017,29.52,43.61,36.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Simeri Crichi,2017,7.3,15.24,4.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Solofra,2017,11.8,22.59,12.92,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sondrio,2017,19.54,24.07,25.06,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Soresina,2017,30.74,41.86,32.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Spoleto,2017,10.32,16.12,30.86,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Stazione,2017,20.55,27.01,20.17,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Stazione Di Padule,2017,11.51,16.52,12.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Taranto,2017,12.16,21.2,16.66,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Terni,2017,23.68,32.71,22.81,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torchiarolo,2017,19.65,31.89,14.52,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torgiano,2017,10.5,15.92,12.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torrechiara,2017,17.12,24.97,14.76,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trento,2017,15.54,23.7,43.04,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trepuzzi,2017,14.56,24.45,11.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviglio,2017,22.61,37.65,36.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviso,2017,24.79,36.57,35.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trivero,2017,12.76,17.85,10.92,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Udine,2017,17.09,22.78,23.13,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vado Ligure,2017,13.03,23.0,27.7,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Varese,2017,22.1,28.85,30.66,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Venezia,2017,27.62,37.7,34.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vercelli,2017,23.24,35.38,25.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Verona,2017,23.32,32.24,28.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viareggio,2017,15.8,26.14,28.34,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vibo Valentia,2017,11.41,20.19,18.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vicenza,2017,27.87,37.78,36.99,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vinchio,2017,20.83,29.29,13.99,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viterbo,2017,10.77,17.75,27.93,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acerra,2018,15.74,36.59,24.85,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acquapendente,2018,10.33,14.68,6.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acri,2018,13.59,21.67,19.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Agip Petroli-Ilva,2018,10.09,17.41,10.37,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Agrigento,2018,8.32,17.83,3.78,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Albenga,2018,11.19,18.84,22.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Alessandria,2018,22.17,34.43,27.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Allumiere,2018,9.32,13.85,6.37,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Altamura,2018,12.08,19.4,15.16,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Amelia,2018,13.32,18.3,8.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ancona,2018,13.51,26.12,17.57,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Andria,2018,14.14,22.99,22.26,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Aosta,2018,11.36,19.18,23.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Arezzo,2018,12.92,21.12,25.38,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Argenta,2018,16.63,23.01,11.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ascoli Piceno,2018,11.93,19.97,15.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Avellino,2018,16.54,34.64,22.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bari,2018,15.48,25.01,28.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Barletta,2018,13.69,22.31,18.78,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Battipaglia,2018,9.76,22.37,25.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Belluno,2018,14.13,19.23,22.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Benevento,2018,16.39,23.28,20.64,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bergamo,2018,21.33,29.3,36.04,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Biella,2018,12.83,18.25,19.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bologna,2018,16.32,24.07,31.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgaro Torinese,2018,22.09,30.42,29.78,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgo D'ale,2018,22.41,35.69,29.48,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgo Valsugana,2018,15.65,23.89,22.02,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgomanero,2018,14.83,20.74,24.38,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Borgosesia,2018,13.83,19.12,15.58,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bormio,2018,10.76,12.86,13.56,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Bragno,2018,16.31,21.76,11.94,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Brescia,2018,22.9,32.21,39.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Brindisi,2018,13.12,21.91,15.31,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cagliari,2018,18.82,30.14,28.41,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cairo Montenotte,2018,16.65,23.38,16.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Calusco D'adda,2018,22.12,26.17,21.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cantalupo Ligure,2018,11.39,14.99,10.31,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Capannori,2018,22.53,29.82,22.99,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Casamassima,2018,13.99,22.4,14.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Caserta,2018,12.2,29.51,21.64,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Casoria,2018,16.82,31.55,28.96,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cassino,2018,16.17,24.9,35.74,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castel Di Sangro,2018,7.42,11.14,11.1,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castellarano,2018,18.76,25.93,18.63,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Castelluccio,2018,6.12,10.21,3.7,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Catanzaro,2018,10.48,21.35,16.06,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cava De' Tirreni,2018,14.08,29.7,25.48,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ceglie Messapica,2018,17.15,24.87,14.06,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cengio,2018,11.11,15.66,9.43,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Chiaravalle,2018,13.19,25.68,29.45,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Chieti,2018,15.08,21.5,7.81,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ciconia,2018,10.67,17.29,6.62,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Citta Di Castello,2018,18.14,25.25,13.98,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Civitanova Marche,2018,10.67,17.14,7.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Civitavecchia,2018,9.01,18.44,17.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Como,2018,23.23,28.7,43.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Conegliano,2018,20.92,23.3,20.53,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cosenza,2018,12.75,22.79,24.92,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cremona,2018,23.39,33.37,29.38,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Crotone,2018,13.99,27.16,24.57,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Cuneo,2018,15.13,21.0,22.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Dalmine,2018,24.27,30.42,24.5,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Darfo Boario Terme,2018,23.74,30.1,27.96,European Environment Agency (downloaded in 2021)
